phase,steps,true_sigma_vision,true_sigma_force,true_sigma_proprio,n_seeds,vision_share_mean,vision_share_std,mean_eig_vision,force_share_mean,force_share_std,mean_eig_force,proprio_share_mean,proprio_share_std,mean_eig_proprio
approach,150,1.4,0.4,0.5,8,0.9324999999999999,0.025307631071994678,2.1121940756456077,0.023333333333333334,0.012344267996967353,0.09086676651662225,0.04416666666666667,0.02712405363721075,0.22983485892805983
align,130,1.1,0.7,1.2,8,0.8067307692307693,0.07519346700997738,2.4854273220433756,0.0038461538461538464,0.005814838046295804,0.27056364089634166,0.18942307692307692,0.07972241571353711,1.340416029817774
contact,140,0.7,1.3,0.9,8,0.6267857142857143,0.062474484587628214,2.2116332919268924,0.11160714285714286,0.08655518639310524,1.0849743293106715,0.2616071428571428,0.10455636531410603,1.6648084001159769
insert,180,0.4,1.7,0.6,8,0.16944444444444443,0.041254575931323895,1.6974049575951424,0.7097222222222221,0.08103986869103577,2.718842599106669,0.12083333333333333,0.055137314559108905,1.479572306980675
