phase,match_rate_mean,match_rate_std,n_seeds
approach,0.9324999999999999,0.025307631071994678,8
align,0.18942307692307692,0.07972241571353711,8
contact,0.11160714285714286,0.08655518639310524,8
insert,0.7097222222222221,0.08103986869103577,8
