seed,step,phase,residual_vision,residual_force,residual_proprio,eig_vision,eig_force,eig_proprio,pick,var_vision_post,var_force_post,var_proprio_post
0,0,approach,0.1760223095307506,-0.052841945316520755,0.32021132522164103,0.01525677192871215,0.0013941900186961495,0.04880616971833084,vision,0.9699472951503739,1.0,1.0
0,1,approach,-0.7499371224255553,0.1446380219637939,0.6520000225650686,0.2286589975630373,0.010352167865296906,0.17712240708058738,proprio,0.9699472951503739,1.0,0.7017031594553729
0,2,approach,-0.9852293301297895,-0.506168588418421,-0.3116372312686761,0.346761590353972,0.11404828836413962,0.06481316493906443,vision,0.499585172848771,1.0,0.7017031594553729
0,3,approach,-3.255043084494368,-0.08751666557301829,-0.6229554736265326,1.5502309400952166,0.0038149921248648412,0.2201088050620519,vision,0.0793841935144096,1.0,0.7017031594553729
0,4,approach,-0.7619625760002338,-0.12652006254766182,0.2058152681870664,1.0589484319534423,0.007940279991850888,0.029307678420026826,vision,0.07588662247947879,1.0,0.7017031594553729
0,5,approach,-0.17994852812164797,0.5465853882198743,-0.33259733674330677,0.17768504882480304,0.13070328247732677,0.0731944962799141,force,0.07588662247947879,0.769967814041115,0.7017031594553729
0,6,approach,1.264858254312532,0.03760491910434983,-0.3717496246769042,1.5473887470171057,0.000917462328234735,0.08988674747348008,vision,0.06767081338916822,0.769967814041115,0.7017031594553729
0,7,approach,-0.6408161559342748,0.08807804938801977,-0.504809091769368,0.9778084822209067,0.005012496597410192,0.15490365546099497,vision,0.06584117249881813,0.769967814041115,0.7017031594553729
0,8,approach,-0.2229150138802688,0.21633823387432308,0.10732956125317045,0.281152285767437,0.029504439565074207,0.008141690540491488,vision,0.06562646106007154,0.769967814041115,0.7017031594553729
0,9,approach,-0.9153600531856751,-0.051845453477107784,0.39198773503066475,1.3111543668749837,0.0017424560359103063,0.09900454833382724,vision,0.062205921447532134,0.769967814041115,0.7017031594553729
0,10,approach,-1.7626917449457682,0.6055695098956251,0.6729377118911523,1.965406037534797,0.19476013654006938,0.24897700989037513,vision,0.0521302445725069,0.769967814041115,0.7017031594553729
